combined_shot_type;loc_x;loc_y;minutes_remaining;period;playoffs;season;seconds_remaining;shot_made_flag;shot_type
Jump Shot;-159;38;6;1;0;2002-03;32;1;2PT Field Goal
Layup;0;0;6;3;0;2008-09;21;1;2PT Field Goal
Jump Shot;-201;143;11;3;0;2012-13;28;0;3PT Field Goal
Jump Shot;229;-7;0;2;0;1996-97;1;0;3PT Field Goal
Layup;21;46;5;2;0;2006-07;46;0;2PT Field Goal
Jump Shot;-65;74;8;3;0;2010-11;5;1;2PT Field Goal
Dunk;0;0;7;1;0;2001-02;27;1;2PT Field Goal
Jump Shot;103;192;2;2;0;2007-08;38;0;2PT Field Goal
Layup;0;0;3;2;1;2009-10;16;0;2PT Field Goal
Jump Shot;-170;-2;1;1;0;2001-02;17;0;2PT Field Goal
Layup;-19;16;2;4;0;2015-16;15;0;2PT Field Goal
Jump Shot;43;45;0;5;0;2002-03;19;1;2PT Field Goal
Jump Shot;107;179;9;3;0;2005-06;14;1;2PT Field Goal
Jump Shot;1;187;3;2;0;2012-13;41;0;2PT Field Goal
Jump Shot;222;13;3;2;0;2001-02;40;0;3PT Field Goal
Jump Shot;1;77;7;2;0;2006-07;6;0;2PT Field Goal
Jump Shot;81;133;6;1;0;2000-01;48;1;2PT Field Goal
Jump Shot;21;162;7;4;0;2011-12;38;1;2PT Field Goal
Layup;0;0;2;1;0;2005-06;19;0;2PT Field Goal
Layup;0;0;9;4;0;2006-07;21;0;2PT Field Goal
Jump Shot;-12;169;3;2;1;1999-00;55;0;2PT Field Goal
Jump Shot;75;179;0;2;0;2001-02;0;0;2PT Field Goal
Layup;0;0;0;5;0;2000-01;4;1;2PT Field Goal
Jump Shot;-18;61;1;3;0;2008-09;23;0;2PT Field Goal
Layup;0;0;2;3;0;2000-01;36;0;2PT Field Goal
Jump Shot;-52;108;2;1;0;2010-11;35;0;2PT Field Goal
Layup;24;7;1;3;0;2014-15;24;0;2PT Field Goal
Jump Shot;207;154;1;2;0;2015-16;51;0;3PT Field Goal
Jump Shot;-230;61;6;1;0;2015-16;23;1;3PT Field Goal
Jump Shot;-111;150;6;1;0;2001-02;2;0;2PT Field Goal
Jump Shot;136;99;9;1;1;2001-02;56;0;2PT Field Goal
Jump Shot;-143;120;7;1;1;2002-03;51;0;2PT Field Goal
Jump Shot;-122;129;0;1;0;2012-13;6;0;2PT Field Goal
Jump Shot;-161;332;3;3;1;2007-08;36;0;3PT Field Goal
Jump Shot;72;42;2;3;0;1997-98;40;0;2PT Field Goal
Jump Shot;39;192;5;4;0;2000-01;2;1;2PT Field Goal
Jump Shot;243;34;9;1;0;2000-01;42;1;3PT Field Goal
Jump Shot;125;224;7;1;1;2002-03;59;0;3PT Field Goal
Layup;0;0;3;4;0;2007-08;43;0;2PT Field Goal
Jump Shot;38;61;11;4;0;2003-04;45;0;2PT Field Goal
Jump Shot;-13;145;8;4;0;2004-05;36;0;2PT Field Goal
Layup;0;0;1;2;1;2008-09;50;1;2PT Field Goal
Jump Shot;140;51;11;4;0;2006-07;17;0;2PT Field Goal
Jump Shot;-116;91;0;5;1;2008-09;47;0;2PT Field Goal
Layup;0;0;10;3;0;1998-99;33;1;2PT Field Goal
Jump Shot;164;66;2;4;0;2005-06;28;0;2PT Field Goal
Jump Shot;130;228;2;3;0;2008-09;57;1;3PT Field Goal
Jump Shot;-86;184;4;3;0;2012-13;45;1;2PT Field Goal
Jump Shot;193;34;1;3;0;2000-01;55;0;2PT Field Goal
Jump Shot;-149;203;0;3;0;1999-00;29;0;3PT Field Goal
Jump Shot;-206;91;0;2;0;2000-01;30;0;2PT Field Goal
Jump Shot;-40;151;1;4;0;2011-12;16;1;2PT Field Goal
Jump Shot;42;46;6;3;0;1998-99;59;0;2PT Field Goal
Jump Shot;107;82;9;3;0;2007-08;20;0;2PT Field Goal
Jump Shot;244;56;0;3;0;2011-12;50;0;3PT Field Goal
Jump Shot;82;76;0;3;0;2004-05;25;1;2PT Field Goal
Jump Shot;-122;227;0;2;1;2008-09;48;0;3PT Field Goal
Jump Shot;-225;7;7;4;0;2003-04;20;0;3PT Field Goal
Jump Shot;119;3;4;2;0;2009-10;21;1;2PT Field Goal
Jump Shot;154;140;8;3;0;2010-11;15;0;2PT Field Goal
Jump Shot;-78;121;3;3;0;2015-16;54;1;2PT Field Goal
Jump Shot;-147;141;7;1;0;2000-01;5;0;2PT Field Goal
Jump Shot;129;215;0;3;0;2001-02;3;1;3PT Field Goal
Jump Shot;95;115;9;2;1;2006-07;13;1;2PT Field Goal
Jump Shot;-130;93;0;2;0;2009-10;28;0;2PT Field Goal
Jump Shot;105;135;5;3;1;2003-04;49;1;2PT Field Goal
Jump Shot;163;22;10;3;0;2004-05;36;0;2PT Field Goal
Layup;0;0;3;2;0;2007-08;50;1;2PT Field Goal
Jump Shot;-82;107;0;3;0;2012-13;3;0;2PT Field Goal
Jump Shot;-98;19;5;1;0;2010-11;48;1;2PT Field Goal
Jump Shot;131;156;4;1;0;2002-03;11;1;2PT Field Goal
Jump Shot;143;216;2;2;0;2009-10;32;0;3PT Field Goal
Jump Shot;-181;102;4;2;1;2003-04;40;0;2PT Field Goal
Jump Shot;-156;18;11;4;0;2005-06;9;1;2PT Field Goal
Jump Shot;-207;141;3;3;0;2006-07;8;0;3PT Field Goal
Jump Shot;-119;220;3;2;0;2010-11;21;0;3PT Field Goal
Jump Shot;-188;85;10;1;0;2010-11;24;1;2PT Field Goal
Jump Shot;-174;105;0;4;0;2005-06;8;1;2PT Field Goal
Layup;4;35;8;1;0;2012-13;15;0;2PT Field Goal
Layup;0;0;1;4;0;2006-07;33;0;2PT Field Goal
Jump Shot;-26;81;11;2;0;2002-03;23;1;2PT Field Goal
Layup;0;0;3;1;0;2008-09;9;1;2PT Field Goal
Jump Shot;-171;236;0;1;0;2012-13;0;0;3PT Field Goal
Jump Shot;141;17;0;3;1;2010-11;41;1;2PT Field Goal
Jump Shot;192;160;3;2;0;2007-08;16;1;3PT Field Goal
Jump Shot;-197;5;0;5;0;2005-06;23;0;2PT Field Goal
Jump Shot;-65;194;7;4;0;2012-13;20;1;2PT Field Goal
Jump Shot;37;91;8;3;0;2009-10;46;0;2PT Field Goal
Jump Shot;-123;67;8;1;0;2012-13;1;0;2PT Field Goal
Jump Shot;-146;12;5;1;0;2006-07;46;0;2PT Field Goal
Jump Shot;-103;186;11;1;0;2003-04;11;1;2PT Field Goal
Jump Shot;-109;165;8;1;0;2010-11;9;1;2PT Field Goal
Jump Shot;192;-5;0;2;0;2012-13;1;0;2PT Field Goal
Layup;0;0;4;1;0;2000-01;30;1;2PT Field Goal
Layup;0;0;3;2;0;2005-06;56;1;2PT Field Goal
Jump Shot;64;155;10;1;0;2003-04;40;1;2PT Field Goal
Jump Shot;84;15;8;4;0;2009-10;14;1;2PT Field Goal
Jump Shot;80;0;5;3;0;2006-07;21;0;2PT Field Goal
Jump Shot;179;79;4;2;0;2005-06;31;0;2PT Field Goal
Layup;-18;4;11;3;1;2011-12;25;0;2PT Field Goal
Jump Shot;-122;137;6;3;0;2000-01;36;1;2PT Field Goal
Jump Shot;62;22;5;3;0;2003-04;15;1;2PT Field Goal
Jump Shot;-190;78;11;1;0;2011-12;45;1;2PT Field Goal
Jump Shot;-105;71;2;2;1;2008-09;39;1;2PT Field Goal
Layup;0;0;9;4;0;2004-05;12;0;2PT Field Goal
Jump Shot;-143;-13;11;4;0;2005-06;34;1;2PT Field Goal
Jump Shot;225;46;5;4;0;2003-04;13;0;3PT Field Goal
Jump Shot;136;-11;11;2;1;2002-03;27;0;2PT Field Goal
Jump Shot;0;255;3;5;1;1996-97;3;0;3PT Field Goal
Jump Shot;-228;17;0;2;0;2010-11;3;0;3PT Field Goal
Layup;0;0;11;4;0;2001-02;5;0;2PT Field Goal
Layup;0;0;6;1;1;2009-10;23;0;2PT Field Goal
Jump Shot;46;183;0;5;0;2002-03;58;1;2PT Field Goal
Jump Shot;136;220;8;1;0;2004-05;36;1;3PT Field Goal
Jump Shot;110;192;3;3;1;2000-01;55;0;2PT Field Goal
Jump Shot;-177;194;2;4;1;2008-09;2;0;3PT Field Goal
Jump Shot;-153;195;1;1;0;2014-15;48;1;3PT Field Goal
Jump Shot;-16;49;8;2;0;2003-04;40;0;2PT Field Goal
Jump Shot;113;246;3;3;0;2010-11;13;0;3PT Field Goal
Jump Shot;87;169;6;1;0;2015-16;34;0;2PT Field Goal
Jump Shot;151;201;9;3;0;2006-07;2;0;3PT Field Goal
Jump Shot;0;254;3;4;0;2014-15;28;0;3PT Field Goal
Layup;15;14;10;3;1;2011-12;55;0;2PT Field Goal
Jump Shot;0;86;6;2;1;2010-11;22;1;2PT Field Goal
Jump Shot;146;235;4;3;0;2008-09;20;0;3PT Field Goal
Jump Shot;223;114;4;3;0;2004-05;43;0;3PT Field Goal
Dunk;0;0;5;3;0;2007-08;0;1;2PT Field Goal
Jump Shot;124;-2;2;1;0;2010-11;52;1;2PT Field Goal
Jump Shot;102;7;4;1;0;2004-05;57;0;2PT Field Goal
Jump Shot;100;233;9;4;0;1999-00;37;0;3PT Field Goal
Jump Shot;57;44;8;3;0;1999-00;54;1;2PT Field Goal
Layup;0;0;8;3;0;2005-06;41;1;2PT Field Goal
Jump Shot;233;64;3;3;0;2002-03;32;0;3PT Field Goal
Jump Shot;0;257;1;4;0;2006-07;1;0;3PT Field Goal
Jump Shot;-117;70;10;2;0;2001-02;16;1;2PT Field Goal
Layup;0;0;8;3;0;2009-10;4;1;2PT Field Goal
Jump Shot;121;129;2;4;0;2014-15;26;1;2PT Field Goal
Jump Shot;103;137;11;4;0;2006-07;46;0;2PT Field Goal
Jump Shot;118;175;5;4;0;2009-10;57;1;2PT Field Goal
Jump Shot;-227;114;6;4;1;2002-03;41;0;3PT Field Goal
Jump Shot;-158;205;5;2;0;2011-12;4;0;3PT Field Goal
Layup;-7;20;4;3;1;2011-12;0;1;2PT Field Goal
Jump Shot;-112;-11;1;4;0;2007-08;6;0;2PT Field Goal
Jump Shot;-154;135;9;3;0;2005-06;59;1;2PT Field Goal
Jump Shot;-237;42;3;3;0;2009-10;51;0;3PT Field Goal
Jump Shot;136;184;4;3;0;2011-12;15;1;2PT Field Goal
Jump Shot;-6;173;0;1;0;1999-00;39;0;2PT Field Goal
Jump Shot;38;97;4;1;0;2002-03;4;0;2PT Field Goal
Jump Shot;-143;222;0;4;0;1997-98;3;0;3PT Field Goal
Jump Shot;151;137;9;2;0;2007-08;5;0;2PT Field Goal
Jump Shot;2;119;11;3;0;2012-13;5;0;2PT Field Goal
Jump Shot;-145;156;9;1;0;2001-02;3;0;2PT Field Goal
Jump Shot;18;61;7;3;0;2008-09;21;1;2PT Field Goal
Jump Shot;-153;17;11;2;0;2005-06;45;1;2PT Field Goal
Layup;0;0;2;4;0;2005-06;33;0;2PT Field Goal
Layup;0;0;7;3;0;2009-10;30;1;2PT Field Goal
Jump Shot;-100;75;1;4;0;2009-10;40;0;2PT Field Goal
Jump Shot;113;233;7;2;0;1997-98;43;0;3PT Field Goal
Jump Shot;-147;61;8;2;1;2009-10;32;0;2PT Field Goal
Jump Shot;-98;37;3;1;0;2012-13;21;1;2PT Field Goal
Jump Shot;-96;179;10;2;0;1997-98;38;1;2PT Field Goal
Jump Shot;58;254;2;1;0;2012-13;4;0;3PT Field Goal
Layup;-4;2;4;1;0;2001-02;25;1;2PT Field Goal
Jump Shot;-94;258;0;1;0;2005-06;55;1;3PT Field Goal
Jump Shot;-130;103;4;3;0;2001-02;8;0;2PT Field Goal
Jump Shot;-27;112;11;4;0;2000-01;7;0;2PT Field Goal
Jump Shot;127;125;4;5;0;2000-01;15;1;2PT Field Goal
Layup;0;0;10;1;0;2000-01;24;0;2PT Field Goal
Jump Shot;-133;228;2;3;0;2010-11;35;0;3PT Field Goal
Jump Shot;115;148;6;4;0;2007-08;30;0;2PT Field Goal
Jump Shot;93;166;7;1;1;1998-99;20;1;2PT Field Goal
Layup;17;-8;6;1;0;2014-15;45;0;2PT Field Goal
Layup;0;0;0;2;0;2004-05;2;1;2PT Field Goal
Layup;0;0;10;1;0;2007-08;46;0;2PT Field Goal
Jump Shot;121;33;10;2;0;1999-00;26;0;2PT Field Goal
Jump Shot;-15;48;4;2;0;2011-12;9;0;2PT Field Goal
Jump Shot;-179;79;4;5;0;2005-06;21;0;2PT Field Goal
Jump Shot;146;34;5;4;0;2013-14;11;1;2PT Field Goal
Jump Shot;39;34;5;3;0;2000-01;16;0;2PT Field Goal
Layup;0;0;2;1;0;1996-97;28;0;2PT Field Goal
Jump Shot;39;80;9;3;0;2001-02;26;0;2PT Field Goal
Dunk;0;0;2;1;0;2000-01;51;1;2PT Field Goal
Jump Shot;-25;30;3;4;0;2003-04;50;0;2PT Field Goal
Jump Shot;-125;229;0;3;0;2003-04;32;0;3PT Field Goal
Dunk;0;0;5;1;1;2009-10;59;1;2PT Field Goal
Jump Shot;181;190;8;3;0;2008-09;30;0;3PT Field Goal
Jump Shot;103;158;9;3;0;2005-06;41;1;2PT Field Goal
Jump Shot;-156;33;2;3;0;2002-03;54;0;2PT Field Goal
Jump Shot;-191;198;6;2;0;2015-16;51;0;3PT Field Goal
Jump Shot;83;97;11;1;1;2008-09;12;1;2PT Field Goal
Jump Shot;45;178;2;2;0;2011-12;31;0;2PT Field Goal
Jump Shot;151;0;0;3;0;2004-05;5;0;2PT Field Goal
Jump Shot;15;33;4;1;0;2009-10;23;0;2PT Field Goal
Jump Shot;0;123;0;1;0;2003-04;27;1;2PT Field Goal
Jump Shot;-186;184;0;4;0;2006-07;11;1;3PT Field Goal
Layup;0;0;7;2;0;2005-06;29;1;2PT Field Goal
Jump Shot;159;-6;9;2;0;2002-03;14;0;2PT Field Goal
Jump Shot;116;121;3;4;0;2012-13;53;1;2PT Field Goal
Jump Shot;120;214;6;4;1;2007-08;39;1;3PT Field Goal
Jump Shot;56;39;0;2;0;2008-09;0;0;2PT Field Goal
Jump Shot;-60;156;1;4;0;2000-01;5;0;2PT Field Goal
Jump Shot;28;34;8;3;0;2010-11;54;1;2PT Field Goal
Jump Shot;130;231;7;2;0;1997-98;15;1;3PT Field Goal
Jump Shot;151;238;0;1;1;2005-06;1;1;3PT Field Goal
Jump Shot;7;91;2;1;0;2000-01;22;0;2PT Field Goal
Jump Shot;-214;124;0;4;0;2015-16;50;0;3PT Field Goal
Jump Shot;-213;107;3;3;1;2009-10;48;0;3PT Field Goal
Jump Shot;127;80;6;1;0;2000-01;17;0;2PT Field Goal
Jump Shot;144;99;2;2;0;2001-02;55;1;2PT Field Goal
Jump Shot;115;13;1;2;1;2001-02;58;1;2PT Field Goal
Jump Shot;148;4;0;3;0;2001-02;4;0;2PT Field Goal
Jump Shot;146;140;7;3;0;2002-03;8;1;2PT Field Goal
Layup;0;0;5;4;0;2009-10;20;1;2PT Field Goal
Jump Shot;-202;80;1;3;0;2010-11;4;0;2PT Field Goal
Jump Shot;-212;133;5;3;0;2007-08;4;0;3PT Field Goal
Jump Shot;-54;45;3;4;0;2004-05;7;0;2PT Field Goal
Jump Shot;138;74;7;1;0;2009-10;43;1;2PT Field Goal
Jump Shot;231;0;8;4;0;2012-13;8;1;3PT Field Goal
Jump Shot;102;164;8;1;0;2015-16;7;0;2PT Field Goal
Jump Shot;-158;23;7;3;1;2008-09;54;0;2PT Field Goal
Jump Shot;-108;23;5;2;0;2004-05;22;0;2PT Field Goal
Jump Shot;-130;107;2;3;0;2008-09;18;1;2PT Field Goal
Jump Shot;115;108;6;1;0;2001-02;46;0;2PT Field Goal
Dunk;0;6;2;4;0;2010-11;18;1;2PT Field Goal
Jump Shot;159;40;3;1;0;2000-01;24;1;2PT Field Goal
Jump Shot;187;173;11;1;0;2012-13;25;0;3PT Field Goal
Jump Shot;98;173;9;2;0;1999-00;57;1;2PT Field Goal
Jump Shot;133;48;4;1;0;2007-08;10;1;2PT Field Goal
Jump Shot;-2;129;6;2;0;2014-15;27;1;2PT Field Goal
Layup;0;0;1;4;0;2006-07;46;1;2PT Field Goal
Layup;0;0;2;4;1;2007-08;22;1;2PT Field Goal
Jump Shot;181;184;1;1;0;2012-13;41;1;3PT Field Goal
Jump Shot;164;246;0;5;0;1998-99;11;1;3PT Field Goal
Jump Shot;85;16;11;4;1;1999-00;20;0;2PT Field Goal
Jump Shot;141;151;7;1;0;2007-08;56;0;2PT Field Goal
Jump Shot;64;43;9;2;0;2004-05;5;0;2PT Field Goal
Jump Shot;-199;149;3;4;0;2008-09;39;1;3PT Field Goal
Jump Shot;144;127;2;2;0;2010-11;24;0;2PT Field Goal
Layup;0;0;9;2;0;2005-06;0;1;2PT Field Goal
Jump Shot;100;107;3;3;0;2009-10;57;0;2PT Field Goal
Layup;0;0;6;1;0;1999-00;33;1;2PT Field Goal
Jump Shot;1;222;1;4;0;1999-00;33;0;2PT Field Goal
Jump Shot;94;-2;9;3;0;2000-01;47;1;2PT Field Goal
Jump Shot;-103;184;0;3;1;2010-11;2;0;2PT Field Goal
Jump Shot;94;173;2;3;0;2001-02;13;0;2PT Field Goal
Jump Shot;-46;101;5;2;0;2008-09;55;1;2PT Field Goal
Jump Shot;-200;174;2;4;1;2002-03;28;0;3PT Field Goal
Jump Shot;-84;117;11;4;0;2002-03;47;1;2PT Field Goal
Jump Shot;132;162;5;2;0;2008-09;0;0;2PT Field Goal
Jump Shot;41;71;8;1;0;2005-06;25;0;2PT Field Goal
Jump Shot;64;116;7;3;0;2013-14;48;0;2PT Field Goal
Jump Shot;119;56;0;2;0;2015-16;24;0;2PT Field Goal
Layup;-12;0;9;3;0;2001-02;18;1;2PT Field Goal
Jump Shot;133;172;9;1;0;2009-10;11;0;2PT Field Goal
Jump Shot;-151;56;9;1;0;2006-07;52;1;2PT Field Goal
Layup;0;0;3;1;0;2008-09;21;0;2PT Field Goal
Layup;0;0;3;3;1;2009-10;35;1;2PT Field Goal
Jump Shot;128;222;9;1;0;2007-08;47;0;3PT Field Goal
Jump Shot;-69;302;0;4;0;2001-02;10;0;3PT Field Goal
Jump Shot;144;4;11;3;0;2009-10;44;1;2PT Field Goal
Jump Shot;132;127;6;1;0;2000-01;36;1;2PT Field Goal
Jump Shot;13;82;3;4;0;2011-12;56;1;2PT Field Goal
Jump Shot;-127;106;8;4;0;1996-97;16;1;2PT Field Goal
Jump Shot;11;241;5;2;1;2001-02;31;0;3PT Field Goal
Jump Shot;40;48;0;1;1;2009-10;50;1;2PT Field Goal
Jump Shot;102;199;9;3;0;2003-04;45;1;2PT Field Goal
Jump Shot;92;211;4;2;0;2009-10;21;1;2PT Field Goal
Jump Shot;-131;215;1;4;0;2004-05;27;0;3PT Field Goal
Layup;0;0;8;1;0;2005-06;50;1;2PT Field Goal
Jump Shot;-191;153;4;1;0;2005-06;0;0;3PT Field Goal
Layup;0;0;0;2;0;2007-08;46;1;2PT Field Goal
Jump Shot;108;76;6;1;0;2001-02;55;1;2PT Field Goal
Jump Shot;16;76;2;1;0;1999-00;14;0;2PT Field Goal
Jump Shot;125;69;5;3;1;2009-10;23;1;2PT Field Goal
Layup;0;0;10;3;0;2009-10;24;0;2PT Field Goal
Jump Shot;-227;151;7;1;0;1998-99;43;0;3PT Field Goal
Jump Shot;-119;175;10;1;0;1999-00;11;1;2PT Field Goal
Jump Shot;10;219;10;1;0;2014-15;19;1;2PT Field Goal
Layup;0;0;8;3;0;2009-10;52;1;2PT Field Goal
Layup;0;0;8;1;0;2005-06;8;1;2PT Field Goal
Jump Shot;108;-3;2;1;0;2011-12;42;0;2PT Field Goal
Jump Shot;-91;128;5;1;1;1999-00;37;0;2PT Field Goal
Dunk;0;0;2;1;0;2001-02;37;1;2PT Field Goal
Layup;0;0;7;3;0;1999-00;53;1;2PT Field Goal
Layup;-7;12;0;2;0;2014-15;54;0;2PT Field Goal
Layup;18;23;9;2;0;2000-01;26;1;2PT Field Goal
Jump Shot;-103;186;3;1;0;2004-05;49;0;2PT Field Goal
Jump Shot;121;145;7;4;1;2005-06;20;0;2PT Field Goal
Layup;0;0;3;3;0;2004-05;24;0;2PT Field Goal
Jump Shot;-177;25;1;4;0;1998-99;10;0;2PT Field Goal
Jump Shot;182;160;0;2;0;2015-16;52;0;3PT Field Goal
Jump Shot;143;-12;4;3;0;1998-99;2;1;2PT Field Goal
Jump Shot;71;67;9;3;0;2015-16;39;1;2PT Field Goal
Jump Shot;-153;169;2;3;0;2002-03;59;0;2PT Field Goal
Jump Shot;141;10;1;2;0;2004-05;50;0;2PT Field Goal
Layup;0;0;3;2;0;2006-07;54;0;2PT Field Goal
Jump Shot;0;126;3;3;0;2012-13;27;1;2PT Field Goal
Layup;0;0;10;3;0;2009-10;8;0;2PT Field Goal
Dunk;0;0;2;1;0;2003-04;58;1;2PT Field Goal
Jump Shot;61;216;11;1;0;2014-15;8;0;2PT Field Goal
Jump Shot;-18;64;0;2;0;2009-10;9;1;2PT Field Goal
Jump Shot;-89;156;7;1;1;1999-00;24;0;2PT Field Goal
Jump Shot;-100;130;4;3;0;2005-06;53;1;2PT Field Goal
Jump Shot;-74;169;7;3;0;2002-03;36;0;2PT Field Goal
Jump Shot;117;232;5;3;0;2002-03;18;0;3PT Field Goal
Layup;0;0;2;2;0;1996-97;50;0;2PT Field Goal
Jump Shot;133;71;8;2;1;2006-07;35;0;2PT Field Goal
Jump Shot;156;186;3;3;0;1997-98;26;1;3PT Field Goal
